"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 10월 21일","651.77","656.02","656.99","651.37","506.79K","-0.60%"
"2016년 10월 20일","655.68","663.06","663.49","655.02","555.91K","-0.84%"
"2016년 10월 19일","661.26","662.46","664.23","660.63","527.73K","0.15%"
"2016년 10월 18일","660.29","660.58","662.34","658.54","524.44K","0.07%"
"2016년 10월 17일","659.83","666.26","666.28","659.14","512.03K","-0.77%"
"2016년 10월 14일","664.92","664.43","666.04","663.51","608.38K","0.28%"
"2016년 10월 13일","663.09","671.69","671.80","663.00","599.63K","-1.02%"
"2016년 10월 12일","669.95","668.09","672.12","667.91","594.00K","-0.10%"
"2016년 10월 11일","670.64","676.09","677.29","669.22","644.49K","-0.61%"
"2016년 10월 10일","674.74","676.02","678.70","674.08","643.59K","-0.17%"
"2016년 10월 07일","675.90","685.96","686.24","675.60","702.66K","-1.23%"
"2016년 10월 06일","684.33","686.69","687.93","684.14","640.77K","-0.16%"
"2016년 10월 05일","685.44","686.03","687.33","684.37","587.03K","-0.06%"
"2016년 10월 04일","685.88","682.32","686.80","681.28","533.48K","0.69%"
"2016년 09월 30일","681.21","688.49","688.49","680.10","680.61K","-1.25%"
"2016년 09월 29일","689.83","689.34","690.44","688.43","743.93K","0.45%"
"2016년 09월 28일","686.76","689.60","690.16","686.76","642.95K","-0.18%"
"2016년 09월 27일","687.99","685.15","688.11","683.29","720.81K","0.18%"
"2016년 09월 26일","686.76","688.89","690.57","686.75","774.55K","-0.27%"
"2016년 09월 23일","688.59","687.16","688.99","685.29","793.55K","0.49%"
"2016년 09월 22일","685.24","682.94","685.87","682.18","946.75K","1.03%"
"2016년 09월 21일","678.28","676.56","678.36","675.70","893.91K","0.56%"
"2016년 09월 20일","674.51","667.16","674.71","666.77","731.45K","1.18%"
"2016년 09월 19일","666.64","661.81","666.76","661.81","713.22K","0.98%"
"2016년 09월 13일","660.15","659.48","661.06","657.03","623.13K","1.11%"
"2016년 09월 12일","652.91","654.49","660.40","652.91","772.57K","-1.82%"
"2016년 09월 09일","664.99","667.46","667.46","659.67","747.61K","-0.36%"
"2016년 09월 08일","667.40","673.60","675.15","660.84","914.88K","-0.76%"
"2016년 09월 07일","672.49","681.01","681.89","672.49","691.59K","-1.00%"
"2016년 09월 06일","679.26","681.14","681.52","677.86","746.49K","-0.03%"
"2016년 09월 05일","679.49","680.02","681.14","678.48","557.78K","0.38%"
"2016년 09월 02일","676.91","673.16","677.16","670.96","582.99K","0.84%"
"2016년 09월 01일","671.29","664.33","671.37","663.86","649.76K","1.15%"
"2016년 08월 31일","663.69","668.63","669.05","656.21","610.79K","-0.59%"
"2016년 08월 30일","667.61","667.20","671.49","665.60","591.65K","0.61%"
"2016년 08월 29일","663.58","679.16","679.17","663.53","723.16K","-2.48%"
"2016년 08월 26일","680.43","684.92","684.92","679.26","727.82K","-0.52%"
"2016년 08월 25일","683.96","688.80","688.99","683.83","645.69K","-0.56%"
"2016년 08월 24일","687.78","689.86","690.44","687.61","650.95K","0.06%"
"2016년 08월 23일","687.38","688.68","692.19","687.37","663.72K","-0.11%"
"2016년 08월 22일","688.15","697.50","697.54","688.15","628.97K","-1.16%"
"2016년 08월 19일","696.20","698.87","699.05","695.87","544.26K","-0.10%"
"2016년 08월 18일","696.93","696.94","697.65","695.13","624.44K","0.47%"
"2016년 08월 17일","693.67","697.98","698.02","688.14","641.49K","-0.74%"
"2016년 08월 16일","698.87","706.40","706.40","698.87","567.65K","-0.89%"
"2016년 08월 12일","705.18","705.22","705.50","702.87","698.28K","0.26%"
"2016년 08월 11일","703.33","709.30","709.67","702.56","708.25K","-0.58%"
"2016년 08월 10일","707.46","703.74","707.94","702.39","662.93K","0.96%"
"2016년 08월 09일","700.73","697.86","701.93","697.42","638.76K","0.62%"
"2016년 08월 08일","696.43","698.67","698.80","694.36","588.31K","0.05%"
"2016년 08월 05일","696.09","703.87","704.03","694.49","638.36K","-0.80%"
"2016년 08월 04일","701.67","701.20","703.72","700.95","687.56K","0.48%"
"2016년 08월 03일","698.32","700.40","700.43","694.88","738.01K","-0.37%"
"2016년 08월 02일","700.90","704.25","704.56","700.32","725.68K","-0.40%"
"2016년 08월 01일","703.72","708.84","708.94","703.72","693.87K","-0.36%"
"2016년 07월 29일","706.24","705.39","706.83","705.13","757.89K","0.35%"
"2016년 07월 28일","703.78","702.94","705.23","701.16","789.21K","0.38%"
"2016년 07월 27일","701.09","707.27","708.10","700.94","774.19K","-0.61%"
"2016년 07월 26일","705.40","705.80","705.99","702.98","1.01M","0.06%"
"2016년 07월 25일","704.96","710.21","710.42","704.83","896.61K","-0.36%"
"2016년 07월 22일","707.54","708.89","708.89","706.16","1.13M","-0.08%"
"2016년 07월 21일","708.12","708.70","709.89","707.82","959.60K","0.44%"
"2016년 07월 20일","705.03","704.02","705.35","703.20","922.40K","0.37%"
"2016년 07월 19일","702.44","703.41","703.98","700.83","1.06M","0.22%"
"2016년 07월 18일","700.90","701.95","702.17","698.69","898.00K","0.09%"
"2016년 07월 15일","700.28","706.21","706.21","699.24","1.13M","-0.44%"
"2016년 07월 14일","703.34","704.13","704.13","699.03","1.10M","0.10%"
"2016년 07월 13일","702.65","703.53","704.69","702.04","1.06M","0.46%"
"2016년 07월 12일","699.40","700.09","700.82","696.38","772.83K","0.31%"
"2016년 07월 11일","697.25","695.46","697.26","692.75","669.14K","0.67%"
"2016년 07월 08일","692.60","698.61","698.69","688.81","860.52K","-0.48%"
"2016년 07월 07일","695.95","689.91","696.18","689.91","989.52K","1.52%"
"2016년 07월 06일","685.51","691.42","692.88","680.32","1.22M","-1.04%"
"2016년 07월 05일","692.73","690.11","692.80","687.00","913.01K","0.67%"
"2016년 07월 04일","688.15","688.00","688.20","685.27","975.93K","0.57%"
"2016년 07월 01일","684.26","679.21","684.82","679.21","880.66K","1.36%"
"2016년 06월 30일","675.09","675.40","676.53","673.11","940.04K","0.78%"
"2016년 06월 29일","669.88","666.73","672.11","664.69","926.79K","1.60%"
"2016년 06월 28일","659.30","643.06","660.03","641.17","1.09M","1.72%"
"2016년 06월 27일","648.12","629.21","650.61","626.99","1.01M","0.15%"
"2016년 06월 24일","647.16","687.40","688.12","631.18","1.59M","-4.76%"
"2016년 06월 23일","679.52","686.36","686.45","674.04","1.03M","-1.26%"
"2016년 06월 22일","688.18","689.27","690.63","688.18","998.58K","-0.05%"
"2016년 06월 21일","688.55","691.54","691.85","685.35","952.81K","-0.06%"
"2016년 06월 20일","688.95","682.91","689.11","682.91","1.01M","1.49%"
"2016년 06월 17일","678.86","685.15","687.22","674.82","1.25M","-0.20%"
"2016년 06월 16일","680.25","697.27","697.63","677.82","1.18M","-2.07%"
"2016년 06월 15일","694.66","693.24","696.79","687.68","869.16K","0.25%"
"2016년 06월 14일","692.94","693.60","697.24","687.56","810.20K","-0.38%"
"2016년 06월 13일","695.61","702.58","702.58","695.61","820.57K","-1.58%"
"2016년 06월 10일","706.81","705.31","707.11","703.55","989.96K","0.25%"
"2016년 06월 09일","705.08","706.32","707.81","696.53","1.16M","0.15%"
"2016년 06월 08일","703.99","705.69","705.69","702.39","826.05K","-0.11%"
"2016년 06월 07일","704.77","703.82","705.82","703.55","774.26K","0.48%"
"2016년 06월 03일","701.43","703.44","703.50","698.79","889.69K","0.04%"
"2016년 06월 02일","701.15","702.26","702.41","699.06","853.81K","0.16%"
"2016년 06월 01일","700.03","699.49","700.63","698.76","711.43K","0.23%"
"2016년 05월 31일","698.45","692.82","698.45","691.93","672.76K","0.92%"
"2016년 05월 30일","692.06","694.00","694.34","689.93","689.07K","0.08%"
"2016년 05월 27일","691.54","689.96","692.02","688.81","710.88K","0.52%"
"2016년 05월 26일","687.94","691.90","692.64","686.62","831.82K","-0.20%"
"2016년 05월 25일","689.33","693.65","693.65","688.00","1.00M","0.24%"
"2016년 05월 24일","687.71","691.92","692.05","686.87","901.40K","-0.48%"
"2016년 05월 23일","691.00","688.87","691.68","688.53","727.50K","0.89%"
"2016년 05월 20일","684.92","679.65","686.44","679.65","798.55K","0.81%"
"2016년 05월 19일","679.39","685.36","686.61","678.48","748.92K","-0.66%"
